particle,frame,x,y,Distance,Velocity,Pixel Value
1,370,512,293,2.967,1.484,210
1,371,512,279,1.806,0.903,134
1,372,511,268,1.425,0.712,58
1,373,525,305,5.103,2.552,55
1,374,525,344,5.031,2.516,78
1,375,521,361,2.253,1.126,62
1,376,523,336,3.235,1.618,55
1,377,521,307,3.750,1.875,47
1,378,521,313,0.774,0.387,31
1,379,516,352,5.072,2.536,30
1,380,510,369,2.326,1.163,29
1,381,513,355,1.847,0.923,42
1,382,513,325,3.870,1.935,43
1,383,516,326,0.408,0.204,27
1,384,513,351,3.248,1.624,39
1,385,512,361,1.296,0.648,36
1,386,519,352,1.471,0.735,28
1,387,518,376,3.099,1.549,43
1,388,520,390,1.824,0.912,31
1,389,504,417,4.049,2.024,28
1,390,485,449,4.801,2.400,29
1,391,498,440,2.040,1.020,34
1,392,515,386,7.303,3.652,54
1,393,506,408,3.066,1.533,28
1,394,495,428,2.944,1.472,31
1,395,490,431,0.752,0.376,24
1,396,506,410,3.406,1.703,25
1,397,512,390,2.694,1.347,33
1,398,516,388,0.577,0.288,45
1,399,510,400,1.731,0.865,29
1,400,519,377,3.186,1.593,47
1,401,522,332,5.818,2.909,44
1,402,522,296,4.644,2.322,61
1,403,520,311,1.952,0.976,42
1,404,523,333,2.864,1.432,37
1,405,521,345,1.569,0.785,56
1,406,523,342,0.465,0.233,54
1,407,521,357,1.952,0.976,108
1,408,523,349,1.064,0.532,68
1,409,524,338,1.425,0.712,76
1,410,522,365,3.493,1.746,95
1,411,514,409,5.769,2.885,70
1,412,504,428,2.770,1.385,51
1,413,503,424,0.532,0.266,59
1,414,507,424,0.516,0.258,39
1,415,500,431,1.277,0.639,50
1,416,482,464,4.849,2.425,40
1,417,480,468,0.577,0.288,51
1,418,478,472,0.577,0.288,37
1,419,492,452,3.149,1.575,43
1,420,498,436,2.204,1.102,58
1,421,504,423,1.847,0.923,74
1,422,508,405,2.379,1.189,137
1,423,515,380,3.349,1.675,70
1,424,521,356,3.191,1.596,83
1,425,521,360,0.516,0.258,73
1,426,522,357,0.408,0.204,91
1,427,522,363,0.774,0.387,89
1,428,523,372,1.168,0.584,62
1,429,522,353,2.454,1.227,75
1,430,525,336,2.227,1.113,86
1,431,524,311,3.228,1.614,79
1,432,523,291,2.583,1.292,68
1,433,525,321,3.879,1.939,37
1,434,523,334,1.697,0.848,50
1,435,524,335,0.182,0.091,76
1,436,519,356,2.785,1.392,124
1,437,514,390,4.433,2.217,115
